,charge,discharge,soc
0,0.0,3457.423133333325,16158.41874074075
1,0.0,728.0374666667321,15349.488222222159
2,0.0,0.0,15349.488222222159
3,0.0,0.0,15349.488222222159
4,0.0,0.0,15349.488222222159
5,0.0,0.0,15349.488222222159
6,0.0,0.0,15349.488222222159
7,0.0,0.0,15349.488222222159
8,0.0,0.0,15349.488222222159
9,0.0,0.0,15349.488222222159
10,0.0,0.0,15349.488222222159
11,0.0,0.0,15349.488222222159
12,0.0,0.0,15349.488222222159
13,0.0,0.0,15349.488222222159
14,0.0,0.0,15349.488222222159
15,0.0,0.0,15349.488222222159
16,0.0,0.0,15349.488222222159
17,0.0,0.0,15349.488222222159
18,0.0,0.0,15349.488222222159
19,0.0,0.0,15349.488222222159
20,0.0,0.0,15349.488222222159
21,0.0,0.0,15349.488222222159
22,0.0,0.0,15349.488222222159
23,0.0,0.0,15349.488222222159
24,0.0,0.0,15349.488222222159
25,0.0,0.0,15349.488222222159
26,0.0,0.0,15349.488222222159
27,0.0,0.0,15349.488222222159
28,0.0,0.0,15349.488222222159
29,0.0,0.0,15349.488222222159
30,0.0,0.0,15349.488222222159
31,0.0,0.0,15349.488222222159
32,0.0,0.0,15349.488222222159
33,0.0,0.0,15349.488222222159
34,0.0,0.0,15349.488222222159
35,0.0,0.0,15349.488222222159
36,0.0,0.0,15349.488222222159
37,0.0,0.0,15349.488222222159
38,0.0,0.0,15349.488222222159
39,0.0,0.0,15349.488222222159
40,0.0,0.0,15349.488222222159
41,0.0,0.0,15349.488222222159
42,0.0,0.0,15349.488222222159
43,0.0,0.0,15349.488222222159
44,0.0,0.0,15349.488222222159
45,0.0,0.0,15349.488222222159
46,0.0,0.0,15349.488222222159
47,0.0,0.0,15349.488222222159
48,0.0,0.0,15349.488222222159
49,0.0,0.0,15349.488222222159
50,0.0,0.0,15349.488222222159
51,0.0,0.0,15349.488222222159
52,0.0,0.0,15349.488222222159
53,0.0,0.0,15349.488222222159
54,0.0,0.0,15349.488222222159
55,0.0,0.0,15349.488222222159
56,0.0,0.0,15349.488222222159
57,0.0,0.0,15349.488222222159
58,0.0,0.0,15349.488222222159
59,0.0,0.0,15349.488222222159
60,0.0,0.0,15349.488222222159
61,0.0,0.0,15349.488222222159
62,0.0,0.0,15349.488222222159
63,0.0,0.0,15349.488222222159
64,0.0,0.0,15349.488222222159
65,0.0,0.0,15349.488222222159
66,0.0,0.0,15349.488222222159
67,0.0,0.0,15349.488222222159
68,0.0,0.0,15349.488222222159
69,0.0,0.0,15349.488222222159
70,0.0,0.0,15349.488222222159
71,0.0,0.0,15349.488222222159
72,0.0,0.0,15349.488222222159
73,0.0,248.75133333333042,15073.097851851791
